"Abkhaz ","аҧсуа бызшәа ","ab "
"Kinyarwanda ","Ikinyarwanda ","rw "
"Kyrgyz ","Кыргызча ","ky "
"Komi ","коми кыв ","kv "
"Kongo ","KiKongo ","kg "
"Korean ","한국어 ","ko "
"Kurdish ","Kurdî ","ku "
"Kwanyama ","Kuanyama ","kj "
"Latin ","latine ","la "
"Luxembourgish ","Lëtzebuergesch ","lb "
"Ganda ","Luganda ","lg "
"Limburgish ","Limburgs ","li "
"Lingala ","Lingála ","ln "
"Lao ","ພາສາລາວ ","lo "
"Lithuanian ","lietuvių kalba ","lt "
"Luba-Katanga ","Tshiluba ","lu "
"Latvian ","latviešu valoda ","lv "
"Manx ","Gaelg ","gv "
"Macedonian ","македонски јазик ","mk "
"Malagasy ","fiteny malagasy ","mg "
"Malay ","bahasa Melayu  ","ms "
"Malayalam ","മലയാളം ","ml "
"Maltese ","Malti ","mt "
"Māori ","te reo Māori ","mi "
"Marathi ","मराठी ","mr "
"Marshallese ","Kajin M̧ajeļ ","mh "
"Mongolian ","монгол ","mn "
"Nauru ","Ekakairũ Naoero ","na "
"Navajo ","Diné bizaad ","nv "
"Norwegian Bokmål ","Norsk bokmål ","nb "
"North Ndebele ","isiNdebele ","nd "
"Nepali ","नेपाली ","ne "
"Ndonga ","Owambo ","ng "
"Norwegian Nynorsk ","Norsk nynorsk ","nn "
"Norwegian ","Norsk ","no "
"Nuosu ","Nuosuhxop ","ii "
"South Ndebele ","isiNdebele ","nr "
"Occitan ","occitan ","oc "
"Ojibwe ","ᐊᓂᔑᓈᐯᒧᐎᓐ ","oj "
"Old Church Slavonic ","ѩзыкъ словѣньскъ ","cu "
"Oromo ","Afaan Oromoo ","om "
"Oriya ","ଓଡ଼ିଆ ","or "
"Ossetian ","ирон æвзаг ","os "
"Panjabi ","ਪੰਜਾਬੀ, پنجابی‎ ","pa "
"Pāli ","पाऴि ","pi "
"Persian ","فارسی ","fa "
"Polish ","język polski ","pl "
"Pashto, Pushto ","پښتو ","ps "
"Portuguese ","português ","pt "
"Quechua ","Runa Simi ","qu "
"Romansh ","rumantsch grischun ","rm "
"Kirundi ","Ikirundi ","rn "
"Romanian, Moldavian ","limba română ","ro "
"Russian ","русский язык ","ru "
"Sanskrit ","संस्कृतम् ","sa "
"Sardinian ","sardu ","sc "
"Sindhi ","सिन्धी ","sd "
"Northern Sami ","Davvisámegiella ","se "
"Samoan ","gagana fa'a Samoa ","sm "
"Sango ","yângâ tî sängö ","sg "
"Serbian ","српски језик ","sr "
"Scottish Gaelic ","Gàidhlig ","gd "
"Shona ","chiShona ","sn "
"Sinhala ","සිංහල ","si "
"Slovak ","slovenčina ","sk "
"Slovene ","slovenski jezik ","sl "
"Somali ","Soomaaliga ","so "
"Southern Sotho ","Sesotho ","st "
"Spanish ","español ","es "
"Sundanese ","Basa Sunda ","su "
"Swahili ","Kiswahili ","sw "
"Swati ","SiSwati ","ss "
"Swedish ","Svenska ","sv "
"Tamil ","தமிழ் ","ta "
"Telugu ","తెలుగు ","te "
"Tajik ","тоҷикӣ ","tg "
"Thai ","ไทย ","th "
"Tigrinya ","ትግርኛ ","ti "
"Tibetan Standard ","བོད་ཡིག ","bo "
"Turkmen ","Türkmen ","tk "
"Tagalog ","Wikang Tagalog ","tl "
"Tswana ","Setswana ","tn "
"Tonga ","faka Tonga ","to "
"Turkish ","Türkçe ","tr "
"Tsonga ","Xitsonga ","ts "
"Tatar ","татар теле ","tt "
"Twi ","Twi ","tw "
"Tahitian ","Reo Tahiti ","ty "
"Uighur ","Uyƣurqə ","ug "
"Ukrainian ","українська мова ","uk "
"Urdu ","اردو ","ur "
"Uzbek ","O'zbek  ","uz "
"Venda ","Tshivenḓa ","ve "
"Vietnamese ","Tiếng Việt ","vi "
"Volapük ","Volapük ","vo "
"Walloon ","walon ","wa "
"Welsh ","Cymraeg ","cy "
"Wolof ","Wollof ","wo "
"Western Frisian ","Frysk ","fy "
"Xhosa ","isiXhosa ","xh "
"Yiddish ","ייִדיש ","yi "
"Yoruba ","Yorùbá ","yo "
"Zhuang ","Saɯ cueŋƅ ","za "
"Zulu ","isiZulu ","zu "
